FL_DATE,Flight_Month,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,Delay_category,Delay_status,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
20-11-2021,2021-11,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,444,SEA,"Seattle, WA",LAX,"Los Angeles, CA",930,931,1,No delay,Delayed,11,942,1147,9,1220,1156,-24,0,0,0,170,145,125,954,0,0,0,0,0
19-02-2021,2021-02,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1673,CMH,"Columbus, OH",MCO,"Orlando, FL",745,740,-5,No delay,Delayed,19,759,1001,10,1005,1011,6,0,0,0,140,151,122,802,0,0,0,0,0
07-08-2020,2020-08,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5437,SRQ,"Sarasota/Bradenton, FL",CLT,"Charlotte, NC",622,619,-3,No delay,Delayed,19,638,757,14,813,811,-2,0,0,0,111,112,79,547,0,0,0,0,0
07-01-2020,2020-01,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,779,STL,"St. Louis, MO",SEA,"Seattle, WA",1940,1924,-16,No delay,Delayed,12,1936,2201,6,2215,2207,-8,0,0,0,275,283,265,1709,0,0,0,0,0
27-02-2019,2019-02,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,760,MDW,"Chicago, IL",MHT,"Manchester, NH",2120,2203,43,Short Delay,On Time,15,2218,52,4,25,56,31,0,0,0,125,113,94,838,31,0,0,0,0
27-11-2019,2019-11,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,121,SJU,"San Juan, PR",TPA,"Tampa, FL",1857,1856,-1,No delay,Delayed,14,1910,2049,8,2110,2057,-13,0,0,0,193,181,159,1237,0,0,0,0,0
11-02-2019,2019-02,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1721,SFO,"San Francisco, CA",SAN,"San Diego, CA",1115,1226,71,Long Delay,On Time,19,1245,1348,16,1250,1404,74,0,0,0,95,98,63,447,71,0,3,0,0
26-02-2020,2020-02,JetBlue Airways,JetBlue Airways: B6,B6,20409,965,BOS,"Boston, MA",RSW,"Fort Myers, FL",1544,1538,-6,No delay,Delayed,24,1602,1942,7,1920,1949,29,0,0,0,216,251,220,1249,0,0,29,0,0
14-07-2022,2022-07,Republic Airline,Republic Airline: YX,YX,20452,4649,DCA,"Washington, DC",CHS,"Charleston, SC",1346,1343,-3,No delay,Delayed,20,1403,1523,5,1529,1528,-1,0,0,0,103,105,80,444,0,0,0,0,0
04-08-2019,2019-08,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5754,PHX,"Phoenix, AZ",ELP,"El Paso, TX",1231,1226,-5,No delay,Delayed,22,1248,1439,2,1448,1441,-7,0,0,0,77,75,51,347,0,0,0,0,0
